MsgCounter,Roll,Pitch,Yaw,Roll_Setpoint,Pitch_Setpoint,Yaw_Setpoint,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Battery,Temperature,Longitude,Latitude
56,-29.69,-5.56,301.19,0.00,0.00,180.00,-0.506,0.023,0.830,4.94,4.44,-26.62,7.99,27.0,25856.0000000,57600.0000000
57,-30.50,-5.50,302.19,0.00,0.00,180.00,-0.495,0.022,0.845,2.50,12.31,0.12,7.99,27.0,25856.0000000,57600.0000000
58,-31.31,-5.62,301.44,0.00,0.00,180.00,-0.512,0.028,0.859,-9.75,5.12,9.25,7.99,27.0,25856.0000000,57600.0000000
59,-30.94,-5.75,299.50,0.00,0.00,180.00,-0.497,0.032,0.870,-13.75,-6.06,13.25,7.99,27.0,25856.0000000,57600.0000000
60,-30.00,-6.06,296.75,0.00,0.00,180.00,-0.467,0.097,0.820,-11.25,-5.75,27.56,8.02,42.5,25856.0000000,57600.0000000
61,-29.62,-5.62,294.81,0.00,0.00,180.00,-0.477,0.058,0.878,-16.75,-0.38,20.06,8.02,42.5,25856.0000000,57600.0000000
62,-29.56,-5.19,292.44,0.00,0.00,180.00,-0.473,0.084,0.852,-17.38,2.12,16.19,8.02,42.5,25856.0000000,57600.0000000
63,-29.50,-4.88,289.81,0.00,0.00,180.00,-0.486,0.051,0.829,-15.44,-0.88,24.81,8.02,42.5,25856.0000000,57600.0000000
64,-29.19,-4.69,287.25,0.00,0.00,180.00,-0.526,0.121,0.910,-9.12,2.88,32.50,8.02,42.5,25856.0000000,57600.0000000
65,-29.38,-4.25,285.94,0.00,0.00,180.00,-0.499,0.081,0.853,-13.19,6.38,-8.62,8.02,42.5,25856.0000000,57600.0000000
66,-29.75,-3.75,285.75,0.00,0.00,180.00,-0.490,0.052,0.835,1.44,5.62,5.94,8.02,42.5,25856.0000000,57600.0000000
67,-30.12,-3.81,285.88,0.00,0.00,180.00,-0.489,0.049,0.847,2.50,2.31,-0.06,8.02,42.5,25856.0000000,57600.0000000
68,-30.38,-4.12,286.25,0.00,0.00,180.00,-0.495,0.050,0.844,6.00,4.62,-5.06,8.02,42.5,25856.0000000,57600.0000000
69,-30.88,-4.31,287.62,0.00,0.00,180.00,-0.536,0.042,0.834,9.75,3.31,-12.50,8.02,42.5,25856.0000000,57600.0000000
70,-30.62,-5.31,288.38,0.00,0.00,180.00,-0.509,0.096,0.851,8.06,-4.12,-17.06,8.02,42.5,25856.0000000,57600.0000000
71,-30.25,-5.88,289.31,0.00,0.00,180.00,-0.472,0.062,0.888,13.62,-7.38,5.06,8.02,42.5,25856.0000000,57600.0000000
72,-29.62,-6.38,290.12,0.00,0.00,180.00,-0.472,0.094,0.773,2.25,1.81,-7.38,8.02,42.5,25856.0000000,57600.0000000
73,-30.00,-5.81,291.44,0.00,0.00,180.00,-0.484,0.063,0.863,4.38,0.75,-12.81,8.02,42.5,25856.0000000,57600.0000000
74,-30.12,-5.62,292.62,0.00,0.00,180.00,-0.483,0.060,0.780,10.19,-1.50,-5.56,8.02,42.5,25856.0000000,57600.0000000
75,-29.06,-5.38,294.06,0.00,0.00,180.00,-0.447,-0.010,0.872,3.94,-18.31,-19.38,8.02,42.5,25856.0000000,57600.0000000
76,-27.00,-5.38,295.31,0.00,0.00,180.00,-0.440,0.115,0.949,2.81,-28.81,-9.44,8.02,42.5,25856.0000000,57600.0000000
